,Info: Tipo,Info: Empresa,Info: Setor,Info: Subsetor,PriceInfo: Cotação,PriceInfo: Data últ cot,PriceInfo: Min 52 sem,PriceInfo: Max 52 sem,PriceInfo: Vol $ méd (2m),MarketValue: Valor de mercado,MarketValue: Valor da firma,MarketValue: Últ balanço processado,MarketValue: Nro Ações,Oscilations: Dia,Oscilations: Mês,Oscilations: 30 dias,Oscilations: 12 meses,Oscilations: 2020,Oscilations: 2019,Oscilations: 2018,Oscilations: 2017,Oscilations: 2016,Oscilations: 2015,,FundamentalIndicators: P/L,FundamentalIndicators: P/VP,FundamentalIndicators: P/EBIT,FundamentalIndicators: PSR,FundamentalIndicators: P/Ativos,FundamentalIndicators: P/Cap Giro,FundamentalIndicators: P/Ativ Circ Liq,FundamentalIndicators: Div Yield,FundamentalIndicators: EV / EBITDA,FundamentalIndicators: EV / EBIT,FundamentalIndicators: Cres Rec (5a),FundamentalIndicators: LPA,FundamentalIndicators: VPA,FundamentalIndicators: Marg Bruta,FundamentalIndicators: Marg EBIT,FundamentalIndicators: Marg Líquida,FundamentalIndicators: EBIT / Ativo,FundamentalIndicators: ROIC,FundamentalIndicators: ROE,FundamentalIndicators: Liquidez Corr,FundamentalIndicators: Div Br/ Patrim,FundamentalIndicators: Giro Ativos,BalanceSheet: Ativo,BalanceSheet: Disponibilidades,BalanceSheet: Ativo Circulante,BalanceSheet: Dív Bruta,BalanceSheet: Dív Líquida,BalanceSheet: Patrim Líq,Demonstrative12M: Receita Líquida,Demonstrative12M: EBIT,Demonstrative12M: Lucro Líquido,Demontrative3M: Receita Líquida,Demontrative3M: EBIT,Demontrative3M: Lucro Líquido,BalanceSheet: Cart de Crédito,BalanceSheet: Depósitos,Demonstrative12M: Result Int Financ,Demonstrative12M: Rec Serviços,Demontrative3M: Result Int Financ,Demontrative3M: Rec Serviços
CBEE3,ON,AMPLA ENERG ON,Energia Elétrica,Energia Elétrica,1650,26/06/2020,1459,2142,9953,2749460000,6887060000,31/03/2020,166634000,3.13%,4.50%,4.50%,-19.25%,-14.40%,-22.72%,0.39%,-21.06%,20.77%,-15.23%,,953,075,534,047,025,-251,-063,0.0%,733,1338,6.5%,173,2214,16.6%,8.7%,4.9%,4.7%,5.2%,7.8%,072,119,054,10927700000,257214000,2869730000,4394820000,4137600000,3689420000,5882260000,514551000,288369000,1557670000,87064000,21791000,,,,,,
CSMG3,ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,5535,26/06/2020,3281,7144,58918800,7015670000,9647570000,31/03/2020,126751000,-5.79%,-3.61%,-0.86%,-12.77%,-16.14%,13.15%,53.64%,24.55%,144.17%,-37.42%,,963,102,539,134,060,798,-250,3.2%,503,741,7.6%,575,5411,42.4%,24.9%,13.9%,11.1%,12.0%,10.6%,176,049,045,11702900000,713527000,2033590000,3345430000,2631900000,6859060000,5225540000,1302410000,728474000,1280330000,338451000,160835000,,,,,,
CSRN3,ON,COSERN ON,Energia Elétrica,Energia Elétrica,1721,24/06/2020,1640,2090,2002,2892550000,4433450000,31/03/2020,168074000,0.00%,-0.17%,-0.17%,8.45%,-7.38%,16.73%,-3.90%,34.33%,65.25%,36.55%,,968,251,640,113,067,623,-134,1.8%,808,980,10.7%,178,685,23.5%,17.7%,11.7%,10.5%,11.8%,26.0%,191,156,060,4288900000,252300000,976300000,1793200000,1540900000,1150700000,2557840000,452240000,298888000,636900000,121500000,81300000,,,,,,
VULC3,ON,VULCABRAS S/A ON,Tecidos. Vestuário e Calçados,Calçados,502,26/06/2020,363,934,5883050,1233700000,1176470000,31/03/2020,245756000,-0.20%,20.38%,19.24%,-22.77%,-45.43%,29.58%,-21.98%,279.17%,30.43%,64.29%,,981,112,993,095,089,189,226,0.0%,561,947,7.5%,051,449,34.4%,9.6%,9.7%,9.0%,10.3%,11.4%,478,006,094,1383120000,121126000,824720000,63905000,-57221000,1103730000,1298830000,124290000,125816000,238636000,8139000,8929000,,,,,,
TUPY3,ON,TUPY ON,Material de Transporte,Material Rodoviário,1898,26/06/2020,1049,2677,15939100,2736500000,3380450000,31/12/2019,144178000,-3.16%,25.12%,31.26%,-7.46%,-24.98%,32.39%,17.10%,62.23%,-33.38%,17.60%,,981,115,625,053,053,186,-1991,0.0%,443,772,12.9%,193,1656,16.2%,8.5%,5.4%,8.5%,12.0%,11.7%,231,062,101,5124170000,840030000,2599340000,1483980000,643951000,2387400000,5163590000,437780000,278932000,1138310000,82389000,72561000,,,,,,
ROMI3,ON,ROMI ON,Máquinas e Equipamentos,Máqs e Equips Industriais,1305,26/06/2020,696,1743,2855590,820297000,1105700000,31/03/2020,62858000,-0.31%,23.11%,24.15%,24.81%,-20.65%,124.14%,17.66%,203.60%,52.05%,-39.67%,,986,103,1680,101,053,228,623,9.6%,1338,2265,7.7%,132,1264,28.8%,6.0%,10.3%,3.2%,3.8%,10.5%,170,057,053,1541680000,168725000,877359000,454130000,285405000,794408000,810681000,48823000,83168000,165941000,4959000,40757000,,,,,,
CEEB3,ON,COELBA ON,Energia Elétrica,Energia Elétrica,4000,26/06/2020,3167,4400,5007,10483800000,18461600000,31/03/2020,262096000,0.00%,0.50%,4.17%,27.50%,1.17%,71.09%,13.13%,7.61%,-6.03%,5.70%,,996,190,573,103,051,927,-107,2.8%,785,1008,10.2%,402,2100,23.5%,18.0%,10.3%,9.0%,9.8%,19.1%,128,164,050,20449500000,1025300000,5157600000,9003100000,7977800000,5504100000,10188300000,1830930000,1052850000,2520900000,494900000,273900000,,,,,,
BRGE12,PNF,CONSORCIO ALFA PNF,Financeiros,Bancos,685,26/06/2020,390,818,11595,504475000,-67193900,31/03/2020,73646000,3.95%,0.74%,10.31%,56.75%,-16.26%,171.76%,9.06%,-4.17%,11.20%,8.37%,,1004,042,-112,1724,016,-177,-140,0.0%,015,015,-0.6%,068,1644,-233.1%,-1532.3%,268.5%,-14.4%,-17.7%,4.1%,077,-,001,3111670000,571669000,954709000,0,-571669000,1210980000,29269000,-448475000,50240000,7068000,-118370000,13403000,,,,,,
NEOE3,ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,1915,26/06/2020,1475,2725,56782300,23244200000,44945200000,31/03/2020,1213800000,-1.54%,4.28%,10.60%,16.35%,-21.76%,48.72%,0.00%,0.00%,0.00%,0.00%,,1005,117,472,082,040,551,-101,3.6%,699,912,19.8%,191,1640,23.3%,17.4%,8.5%,8.5%,9.6%,11.6%,139,132,049,58234000000,4518000000,14982000000,26219000000,21701000000,19909000000,28277400000,4928240000,2313850000,6920000000,1297000000,577000000,,,,,,
NEOE3,ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,1915,26/06/2020,1475,2725,56782300,23244200000,44945200000,31/03/2020,1213800000,-1.54%,4.28%,10.60%,16.35%,-21.76%,48.72%,0.00%,0.00%,0.00%,0.00%,,1005,117,472,082,040,551,-101,3.6%,699,912,19.8%,191,1640,23.3%,17.4%,8.5%,8.5%,9.6%,11.6%,139,132,049,58234000000,4518000000,14982000000,26219000000,21701000000,19909000000,28277400000,4928240000,2313850000,6920000000,1297000000,577000000,,,,,,
CEEB5,PNA,COELBA PNA,Energia Elétrica,Energia Elétrica,4100,18/06/2020,3541,4100,1840,10745900000,18723700000,31/03/2020,262096000,0.00%,6.52%,6.52%,20.18%,6.53%,98.02%,6.56%,-7.57%,-1.53%,9.04%,,1021,195,587,105,053,951,-110,0.0%,796,1023,10.2%,402,2100,23.5%,18.0%,10.3%,9.0%,9.8%,19.1%,128,164,050,20449500000,1025300000,5157600000,9003100000,7977800000,5504100000,10188300000,1830930000,1052850000,2520900000,494900000,273900000,,,,,,
SHUL4,PN,SCHULZ PN,Máquinas e Equipamentos,Motores. Compressores e Outros,1082,26/06/2020,591,1658,2418100,966702000,1196750000,31/03/2020,89344000,-2.96%,5.36%,19.56%,36.10%,6.81%,49.41%,47.39%,66.07%,12.60%,-16.89%,,1026,150,1145,091,061,171,1308,1.4%,949,1417,16.8%,105,721,22.2%,8.0%,8.9%,5.3%,8.0%,14.6%,224,105,066,1590970000,448590000,1020910000,678641000,230051000,643997000,1057370000,84435000,94241000,234273000,22063000,15592000,,,,,,
CSRN6,PNB,COSERN PNB,Energia Elétrica,Energia Elétrica,1849,10/06/2020,1645,1906,86,3107690000,4648590000,31/03/2020,168074000,0.00%,0.00%,0.00%,18.90%,9.21%,11.36%,28.42%,3.65%,89.31%,19.69%,,1040,270,687,121,072,670,-144,1.9%,847,1028,10.7%,178,685,23.5%,17.7%,11.7%,10.5%,11.8%,26.0%,191,156,060,4288900000,252300000,976300000,1793200000,1540900000,1150700000,2557840000,452240000,298888000,636900000,121500000,81300000,,,,,,
CIEL3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,463,26/06/2020,333,888,208878000,12578900000,12923700000,31/03/2020,2716820000,-4.93%,13.20%,21.52%,-32.39%,-44.51%,-1.06%,-58.16%,4.66%,1.31%,3.53%,,1046,136,769,113,015,190,-380,1.7%,472,790,-2.7%,044,341,34.1%,14.7%,10.8%,1.9%,12.7%,13.0%,110,109,013,84219800000,9757790000,71653800000,10102600000,344829000,9257250000,11125800000,1635430000,1202100000,1210990000,177214000,166803000,,,,,,
ALUP11,UNT N2,ALUPAR UNT N2,Energia Elétrica,Energia Elétrica,2393,26/06/2020,2024,2946,20149400,7012380000,12225400000,31/03/2020,879111000,-0.75%,-3.78%,-3.08%,-2.15%,-10.66%,53.50%,3.45%,10.91%,47.97%,-20.32%,,1048,135,324,150,035,240,-098,2.9%,537,565,32.5%,228,1777,49.4%,46.4%,29.4%,10.9%,13.4%,12.8%,243,166,023,19920500000,3421850000,4967970000,8634860000,5213010000,5206210000,4663230000,2162810000,668930000,1216930000,582593000,179149000,,,,,,
CEBR5,PNA,CEB - COMPANHIA ENERGÉTICA DE BRASÍLIA PNA,Energia Elétrica,Energia Elétrica,7720,05/06/2020,4000,8200,2399,1112920000,1184020000,31/03/2020,14416000,0.00%,7.22%,7.22%,92.52%,18.40%,101.92%,37.52%,-3.14%,33.19%,7.18%,,1050,140,669,040,031,820,-119,0.0%,527,711,5.5%,735,5510,14.9%,6.0%,5.0%,4.7%,5.6%,13.3%,109,058,078,3555050000,388588000,1601660000,459688000,71100000,794301000,2764100000,166442000,105998000,659872000,14071000,-10296000,,,,,,
ITSA3,ON N1,ITAÚSA ON N1,Financeiros,Bancos,1106,26/06/2020,927,1377,2952460,93023600000,94040600000,31/03/2020,8410810000,-2.04%,6.23%,5.83%,-16.12%,-18.57%,14.23%,49.45%,38.09%,36.38%,-14.14%,,1053,179,35916,1824,145,2368,-3164,7.9%,9796,36309,2.2%,105,618,27.4%,5.1%,178.7%,0.4%,0.4%,17.0%,258,009,008,64343000000,3590000000,6413000000,4607000000,1017000000,51962000000,5099000000,259000000,8838000000,1162000000,106000000,1012000000,,,,,,
BRGE8,PND,CONSORCIO ALFA PND,Financeiros,Bancos,720,23/06/2020,452,1220,1725,530251000,-41417800,31/03/2020,73646000,0.00%,16.13%,20.00%,59.51%,-32.86%,190.24%,45.21%,-9.37%,5.49%,0.00%,,1055,044,-118,1812,017,-186,-147,4.0%,009,009,-0.6%,068,1644,-233.1%,-1532.3%,268.5%,-14.4%,-17.7%,4.1%,077,-,001,3111670000,571669000,954709000,0,-571669000,1210980000,29269000,-448475000,50240000,7068000,-118370000,13403000,,,,,,
ITUB3,ON N1,ITAUUNIBANCO ON N1,Financeiros,Bancos,2411,26/06/2020,1966,3154,27383000,236378000000,-,31/03/2020,9804140000,-2.35%,9.97%,10.17%,-17.76%,-22.21%,15.72%,27.67%,30.37%,42.50%,-9.54%,,1070,191,-,-,-,-,-,8.3%,-,-,-20.0%,225,1264,-,-,0.0%,0.0%,-,17.8%,-,-,-,197918000000,,,,,123889000000,,,22091400000,,,1880000000,0,0,1539080000,0,521000000,0
PTNT4,PN,PETTENATI PN,Tecidos. Vestuário e Calçados,Fios e Tecidos,490,26/06/2020,290,654,255176,235428000,350461000,31/03/2020,48046500,-1.01%,21.59%,25.96%,60.13%,-1.01%,64.45%,-5.05%,104.52%,0.00%,27.05%,,1075,093,912,041,034,412,-521,1.5%,667,1358,3.7%,046,525,13.5%,4.5%,6.6%,3.7%,4.8%,8.7%,120,076,083,693539000,76953100,337416000,191987000,115034000,252196000,573908000,25800700,21898400,148152000,1180550,3927890,,,,,,
LEVE3,ON,MAHLE METAL LEVE ON,Material de Transporte,Material Rodoviário,1822,26/06/2020,1483,3277,9008060,2337770000,2614020000,31/03/2020,128308000,-3.34%,2.53%,9.10%,-22.49%,-36.57%,24.46%,12.66%,17.98%,-14.19%,26.34%,,1080,175,630,094,083,432,5595,3.5%,557,704,2.1%,169,1044,25.6%,15.0%,8.6%,13.2%,17.4%,16.2%,156,057,088,2804200000,488405000,1514280000,764656000,276251000,1339250000,2476830000,371344000,216485000,573795000,94085000,21390000,,,,,,
CVCB3,ON NM,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo,1770,26/06/2020,649,5614,117862000,2643120000,3773550000,30/09/2019,149329000,-3.17%,22.92%,31.11%,-64.84%,-59.59%,-27.82%,27.11%,106.83%,83.66%,-6.84%,,1094,193,375,134,038,159,-512,2.4%,447,535,22.8%,162,918,88.6%,35.6%,11.6%,10.2%,12.2%,17.6%,149,113,029,6931810000,411883000,5026740000,1542310000,1130430000,1370930000,1979040000,705112000,241522000,449622000,189093000,79537000,,,,,,
BRIV4,PN,ALFA DE INVESTIMENTO PN,Financeiros,Bancos,780,26/06/2020,650,1107,35749,691088000,-,31/03/2020,88601000,-0.64%,15.90%,14.04%,7.64%,-9.53%,44.72%,10.81%,17.34%,-12.41%,6.93%,,1123,046,-,-,-,-,-,7.1%,-,-,21.9%,069,1692,-,-,0.0%,0.0%,-,4.1%,-,-,-,13478900000,,,,,1498980000,,,61528000,,,10843000,2018720000,3047030000,98674000,43300000,15197000,10652000
MTSA4,PN,METISA PN,Máquinas e Equipamentos,Máqs e Equips Construção e Agrícolas,1678,26/06/2020,1300,2825,144818,153323000,131252000,31/03/2020,9137260,-1.58%,6.34%,11.87%,-5.09%,-28.57%,64.73%,-5.06%,64.33%,25.55%,-33.15%,,1126,064,892,052,046,096,101,2.4%,472,763,9.2%,149,2639,23.8%,5.8%,4.6%,5.2%,7.0%,5.6%,291,024,088,333401000,78763500,243951000,56692300,-22071200,241115000,294464000,17197000,13622100,71474700,8231420,-282178,,,,,,
ENAT3,ON,ENAUTA PART ON,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,1035,26/06/2020,570,1641,26010400,2751100000,1125120000,31/03/2020,265807000,-2.17%,2.48%,2.48%,-12.84%,-26.90%,94.65%,-0.24%,107.03%,-5.24%,-14.64%,,1140,088,858,230,057,162,488,11.0%,139,351,27.0%,091,1175,31.4%,26.8%,20.2%,6.6%,11.3%,7.7%,403,008,025,4822670000,1866900000,2263770000,240921000,-1625980000,3122130000,1194660000,320693000,241291000,290279000,69962000,76801000,,,,,,
ITUB4,PN N1,ITAUUNIBANCO PN N1,Financeiros,Bancos,2571,26/06/2020,2048,3690,1102440000,252064000000,-,31/03/2020,9804140000,-1.68%,11.65%,11.80%,-25.67%,-28.57%,11.98%,32.41%,29.64%,49.03%,-10.94%,,1141,203,-,-,-,-,-,7.8%,-,-,-20.0%,225,1264,-,-,0.0%,0.0%,-,17.8%,-,-,-,197918000000,,,,,123889000000,,,22091400000,,,1880000000,0,0,1539080000,0,521000000,0
RPAD3,ON,ALFA HOLDINGS ON,Financeiros,Bancos,570,26/06/2020,400,831,10019,482687000,473121000,31/03/2020,84682000,-5.47%,7.34%,16.33%,1.97%,-6.71%,153.53%,4.78%,-12.88%,14.78%,12.20%,,1151,048,-11854,178773,047,-27837,-23129,0.0%,-11619,-11619,8.8%,050,1196,94.8%,-1508.2%,15529.6%,-0.4%,-0.4%,4.1%,086,-,000,1026340000,9566000,11079000,0,-9566000,1013170000,270000,-4072000,41930000,71000,-1366000,11993000,,,,,,
CPFE3,ON,CPFL ENERGIA SA ON,Energia Elétrica,Energia Elétrica,2996,26/06/2020,2350,3920,142443000,34521500000,51644300000,31/03/2020,1152250000,-1.48%,-7.10%,-5.04%,2.60%,-15.72%,25.22%,50.85%,-22.58%,72.05%,-11.19%,,1155,242,689,115,072,973,-169,0.0%,803,1031,13.3%,259,1236,22.4%,16.6%,10.2%,10.4%,12.6%,21.0%,136,159,062,48182200000,5570450000,13272800000,22693200000,17122700000,14242300000,30087300000,5007850000,2989260000,7282270000,1293600000,890041000,,,,,,
SMTO3,ON NM,SAO MARTINHO ON NM,Alimentos,Alimentos Diversos,1915,26/06/2020,1230,2975,35500200,6779310000,11261300000,31/12/2019,354011000,-2.05%,-1.44%,-3.33%,-0.47%,-19.27%,34.24%,-3.28%,0.55%,29.05%,27.19%,,1165,183,1044,185,059,282,-168,3.4%,440,1734,13.4%,164,1044,27.2%,17.7%,15.9%,5.6%,6.4%,15.8%,275,158,032,11507800000,1344320000,3783310000,5826310000,4481980000,3695000000,3671280000,649579000,581975000,1029190000,262282000,342920000,,,,,,
WLMM4,PN,WLM PN,Comércio,Material de Transporte,1709,26/06/2020,591,2001,23717,622327000,600186000,31/03/2020,36414700,0.00%,22.68%,26.50%,165.36%,31.78%,172.48%,-3.56%,102.00%,-47.37%,-62.69%,,1183,145,1122,057,116,398,582,2.1%,1017,1082,25.3%,145,1180,12.7%,5.0%,4.8%,10.4%,11.3%,12.2%,382,003,206,534972000,33051000,211823000,10910000,-22141000,429742000,1101110000,55473000,52627000,205084000,13042000,9470000,,,,,,
BRIV3,ON,ALFA DE INVESTIMENTO ON,Financeiros,Bancos,850,25/06/2020,646,1051,3059,753108000,-,31/03/2020,88601000,0.00%,16.76%,26.87%,14.86%,-3.19%,67.24%,-6.75%,14.20%,-17.14%,12.48%,,1224,050,-,-,-,-,-,0.0%,-,-,21.9%,069,1692,-,-,0.0%,0.0%,-,4.1%,-,-,-,13478900000,,,,,1498980000,,,61528000,,,10843000,2018720000,3047030000,98674000,43300000,15197000,10652000
SOND6,PNB,SONDOTECNICA S/A PNB,Construção e Engenharia,Engenharia Consultiva,3109,01/06/2020,2915,3885,217,76419200,47200200,31/03/2020,2458000,0.00%,0.00%,0.00%,19.57%,-19.98%,221.80%,16.17%,-21.44%,-15.14%,-17.73%,,1235,138,1245,117,097,232,332,2.9%,601,769,-12.0%,252,2254,31.6%,9.4%,9.5%,7.8%,12.7%,11.2%,349,-,083,78584000,29219000,46168000,0,-29219000,55393000,65435000,6136000,6188000,16048000,1490000,1702000,,,,,,
EMAE4,PN,EMAE PN,Energia Elétrica,Energia Elétrica,3119,26/06/2020,2000,3914,166039,1152380000,812639000,31/12/2019,36947000,1.04%,7.59%,9.06%,46.46%,-14.36%,106.24%,124.20%,11.48%,108.96%,13.07%,,1244,116,3220,262,077,242,1265,2.5%,1956,2271,22.3%,251,2680,19.0%,8.2%,21.1%,2.4%,3.3%,9.4%,482,007,029,1500330000,412922000,601235000,73184000,-339738000,990225000,439003000,35786000,92636000,115375000,23153000,42608000,,,,,,
BRDT3,ON NM,PETROBRAS BR ON NM,Petróleo. Gás e Biocombustíveis,Exploração e/ou Refino e Distribuição,2122,26/06/2020,1374,3109,193060000,24721300000,29065300000,31/03/2020,1165000000,-3.98%,-1.94%,-1.16%,-13.91%,-29.43%,30.51%,59.12%,6.94%,0.00%,0.00%,,1256,275,1556,026,086,358,-520,2.2%,1368,1829,3.8%,169,773,5.7%,1.7%,2.1%,5.5%,7.5%,21.9%,185,115,325,28823000000,5997000000,15068000000,10341000000,4344000000,9000000000,93741000000,1589000000,1968000000,21188000000,178000000,234000000,,,,,,
SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,2343,26/06/2020,1588,2745,40527900,4465640000,5994390000,31/03/2020,190595000,-0.38%,-5.94%,-11.08%,35.17%,-4.07%,24.19%,64.77%,102.68%,-8.42%,22.98%,,1264,165,750,139,061,438,-404,1.7%,856,1007,18.2%,185,1418,26.8%,18.6%,11.2%,8.2%,9.7%,13.1%,145,085,044,7279290000,773780000,3274730000,2302530000,1528750000,2702240000,3202130000,595242000,353172000,926806000,256285000,143525000,,,,,,
TASA3,ON,TAURUS ARMAS ON,Máquinas e Equipamentos,Armas e Munições,622,26/06/2020,244,622,769988,550395000,1264390000,31/12/2019,88488000,0.97%,60.31%,61.56%,86.79%,21.72%,6.68%,180.12%,20.42%,-4.70%,204.08%,,1267,-181,727,055,052,853,-081,0.0%,1289,1669,4.1%,049,-344,34.1%,7.6%,4.3%,7.1%,8.3%,-14.3%,110,-246,094,1066440000,35982000,694536000,749981000,713999000,-304621000,999581000,75742000,43426000,272210000,5214000,22123000,,,,,,
RAPT3,ON N1,RANDON SA IMPLEMENTOS E PARTICIPAÇÕES ON N1,Material de Transporte,Material Rodoviário,803,26/06/2020,421,1185,133503,2776580000,3888160000,31/03/2020,345776000,-3.72%,8.96%,15.54%,5.31%,-27.98%,70.23%,31.75%,113.56%,31.11%,-39.19%,,1268,161,513,054,044,119,-716,3.4%,552,719,17.1%,063,499,24.2%,10.6%,5.2%,8.5%,12.9%,12.7%,265,165,080,6369900000,1734550000,3742720000,2846130000,1111580000,1726080000,5126510000,541096000,218946000,1167730000,86963000,2994000,,,,,,
GEPA3,ON,DUKE ENERGY INT.GERAÇÃO PARANAPANEMA SA ON,Energia Elétrica,Energia Elétrica,4011,26/06/2020,3518,4888,69946,3787710000,3990470000,31/03/2020,94433000,0.28%,5.55%,5.55%,-0.06%,-14.64%,60.02%,-8.67%,21.57%,-21.84%,0.00%,,1272,224,680,261,084,-1580,-272,5.0%,513,717,3.1%,315,1792,41.9%,38.3%,20.5%,12.3%,24.5%,17.6%,086,082,032,4513890000,1177350000,1430650000,1380110000,202765000,1691830000,1453620000,556635000,297821000,449912000,255210000,140481000,,,,,,
ALUP3,ON N2,ALUPAR ON N2,Energia Elétrica,Energia Elétrica,968,26/06/2020,833,1212,228121,8509790000,13722800000,31/03/2020,879111000,-0.10%,-3.01%,-3.20%,7.10%,-13.10%,54.89%,-2.90%,1.20%,51.62%,0.00%,,1272,163,393,182,043,291,-119,2.4%,603,634,32.5%,076,592,49.4%,46.4%,29.4%,10.9%,13.4%,12.8%,243,166,023,19920500000,3421850000,4967970000,8634860000,5213010000,5206210000,4663230000,2162810000,668930000,1216930000,582593000,179149000,,,,,,
PTBL3,ON,PORTOBELLO S/A ON,Construção e Engenharia,Materiais de Construção,414,26/06/2020,175,660,6770930,656144000,1176440000,31/03/2020,158489000,0.49%,24.70%,35.74%,-3.44%,-21.78%,6.55%,-1.75%,175.81%,0.54%,-52.93%,,1278,177,2004,057,032,329,-092,1.0%,1252,3592,2.0%,032,234,33.2%,2.8%,4.5%,1.6%,2.1%,13.8%,126,228,056,2039750000,324782000,956947000,845075000,520293000,371288000,1149220000,32749000,51340000,274180000,9805000,21003000,,,,,,
ENMT3,ON,ENERGISA MT ON,Energia Elétrica,Energia Elétrica,2999,26/06/2020,2336,3235,49422,6566070000,10035000000,31/03/2020,218942000,3.45%,15.57%,15.61%,14.12%,-5.89%,63.88%,28.17%,38.58%,104.66%,11.18%,,1282,291,804,133,078,1951,-190,2.3%,983,1228,10.3%,234,1030,20.7%,16.5%,10.4%,9.7%,11.4%,22.7%,114,194,059,8447240000,917447000,2739460000,4386350000,3468900000,2255630000,4942780000,816890000,512011000,1111520000,129503000,36879000,,,,,,
ENMT4,ON,ENERGISA MT ON,Energia Elétrica,Energia Elétrica,2999,26/06/2020,2401,3486,100900,6566070000,10035000000,31/03/2020,218942000,-0.03%,15.57%,15.57%,10.59%,-8.17%,72.85%,166.81%,3.19%,16.39%,11.07%,,1282,291,804,133,078,1951,-190,0.1%,983,1228,10.3%,234,1030,20.7%,16.5%,10.4%,9.7%,11.4%,22.7%,114,194,059,8447240000,917447000,2739460000,4386350000,3468900000,2255630000,4942780000,816890000,512011000,1111520000,129503000,36879000,,,,,,
JHSF3,ON NM,JHSF Part ON NM,Construção e Engenharia,Construção Civil,680,26/06/2020,283,895,52940800,4360440000,5104610000,31/03/2020,641242000,-2.86%,42.26%,55.96%,138.09%,-4.63%,294.25%,9.58%,23.70%,11.57%,-43.19%,,1289,146,2287,642,074,976,-221,1.0%,2352,2677,6.8%,053,467,49.4%,28.1%,48.4%,3.3%,3.5%,11.3%,209,039,012,5866200000,415368000,855598000,1159540000,744170000,2996310000,678678000,190666000,338393000,166930000,42637000,21676000,,,,,,
PSSA3,ON,PORTO SEGURO SA ON,Previdência e Seguros,Seguradoras,5216,26/06/2020,3984,6631,42170900,16863000000,6015220000,31/03/2020,323293000,-3.14%,10.27%,17.72%,2.76%,-14.99%,24.63%,55.75%,40.46%,-2.87%,-2.59%,,1289,209,116,093,051,345,-1021,3.1%,041,041,4.1%,405,2496,100.0%,80.1%,7.2%,44.2%,65.9%,16.2%,127,-,055,32965200000,10847700000,23244000000,0,-10847700000,8068850000,18208200000,14577300000,1307940000,4461370000,3592800000,226525000,,,,,,
HGTX3,ON N1,CIA HERING ON N1,Tecidos. Vestuário e Calçados,Vestuário,1392,26/06/2020,1103,3535,61482100,2262470000,1959470000,31/03/2020,162534000,-3.27%,4.50%,2.88%,-51.35%,-59.11%,19.94%,17.96%,80.90%,5.89%,-18.49%,,1307,161,1425,156,118,265,284,3.9%,789,1234,-0.9%,106,864,43.2%,11.0%,12.0%,8.3%,13.2%,12.3%,290,013,076,1915010000,485318000,1305610000,182310000,-303008000,1404800000,1447330000,158801000,173060000,272112000,7493000,5043000,,,,,,
RPAD6,PNB,ALFA HOLDINGS PNB,Financeiros,Bancos,650,26/06/2020,360,1000,4357,550433000,540867000,31/03/2020,84682000,-7.01%,5.86%,29.74%,56.63%,-26.88%,160.70%,26.30%,4.25%,52.35%,-6.59%,,1313,054,-13518,203864,054,-31744,-26375,0.0%,-13283,-13283,8.8%,050,1196,94.8%,-1508.2%,15529.6%,-0.4%,-0.4%,4.1%,086,-,000,1026340000,9566000,11079000,0,-9566000,1013170000,270000,-4072000,41930000,71000,-1366000,11993000,,,,,,
TEND3,ON NM,Tenda ON NM,Construção e Engenharia,Construção Civil,2952,26/06/2020,1786,3958,37479300,3080240000,2948430000,31/03/2020,104344000,-4.90%,17.66%,23.00%,29.76%,-2.22%,93.03%,63.60%,36.38%,0.00%,0.00%,,1331,225,907,157,086,175,645,1.1%,789,868,21.5%,222,1313,32.5%,17.4%,11.8%,9.5%,13.9%,16.9%,293,068,055,3569670000,1060710000,2675920000,928909000,-131804000,1370200000,1956600000,339677000,231385000,415812000,49917000,17594000,,,,,,
POMO3,ON,MARCOPOLO ON,Material de Transporte,Material Rodoviário,270,26/06/2020,207,492,1207620,2556610000,3635600000,31/03/2020,946893000,-3.23%,6.30%,5.06%,-14.15%,-37.94%,38.75%,4.57%,50.74%,32.68%,-40.70%,,1335,106,1058,059,046,211,-1130,3.8%,1094,1505,16.9%,020,255,15.3%,5.6%,4.5%,4.3%,5.7%,7.9%,171,083,077,5616040000,913271000,2919930000,1992260000,1078990000,2411370000,4335350000,241601000,191462000,919399000,49487000,14295000,,,,,,
LUXM4,PN,TREVISA INVESTIMENTOS SA PN,Transporte,Transporte Hidroviário,3400,26/06/2020,1517,3400,13987,176664000,201542000,31/03/2020,5196000,0.00%,6.25%,6.25%,129.27%,30.77%,57.00%,55.20%,0.00%,0.00%,36.45%,,1344,171,1195,150,100,679,-837,4.1%,636,1363,11.3%,253,1987,26.6%,12.6%,11.2%,8.4%,8.8%,12.7%,201,029,067,176083000,5209000,51718000,30087000,24878000,103254000,117592000,14785000,13145000,25360000,2198000,1923000,,,,,,
