,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro Ações,oscilations_Dia,oscilations_Mês,oscilations_30 dias,oscilations_12 meses,oscilations_2020,oscilations_2019,oscilations_2018,oscilations_2017,oscilations_2016,oscilations_2015,,indicator_P/L,indicator_P/VP,indicator_P/EBIT,indicator_PSR,indicator_P/Ativos,indicator_P/Cap Giro,indicator_P/Ativ Circ Liq,indicator_Div Yield,indicator_EV / EBITDA,indicator_EV / EBIT,indicator_Cres Rec (5a),indicator_LPA,indicator_VPA,indicator_Marg Bruta,indicator_Marg EBIT,indicator_Marg Líquida,indicator_EBIT / Ativo,indicator_ROIC,indicator_ROE,indicator_Liquidez Corr,indicator_Div Br/ Patrim,indicator_Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív Bruta,Dív Líquida,Patrim Líq,demonstrative12m_Receita Líquida,demonstrative12m_EBIT,demonstrative12m_Lucro Líquido,demontrative3m_Receita Líquida,demontrative3m_EBIT,demontrative3m_Lucro Líquido,Cart de Crédito,Depósitos,demonstrative12m_Result Int Financ,demonstrative12m_Rec Serviços,demontrative3m_Result Int Financ,demontrative3m_Rec Serviços
OSXB3,ON NM,OSX BRASIL ON NM,"Petróleo, Gás e Biocombustíveis",Máquinas e Equipamentos,468,30/06/2020,230,610,56330,14732600,4379710000,31/03/2020,3148000,"-3,51%","48,57%","48,57%","-0,43%","43,12%","-5,22%","-54,96%","-48,93%","0,00%","-40,00%",,-003,-000,-103,141,001,-003,-000,"0,0%",-62496,-30679,"-61,1%",-18033,-149165,"100,0%","-136,6%","-5570,7%","-0,7%","-0,8%","12,1%",003,-093,001,2008770000,1098000,14637000,4366080000,4364980000,-4695710000,10448000,-14276000,-567680000,2632000,-3231000,-245000,,,,,,
BRKM6,PNB N1,BRASKEM PNB N1,Químicos,Petroquímicos,1900,30/06/2020,1800,2900,413,15147200000,41645000000,31/03/2020,797219000,"-0,05%","2,70%","2,70%","-61,37%","-20,83%","-48,75%","6,00%","2,01%","195,23%","66,89%",,-194,-1514,891,029,020,259,-028,"3,2%",765,2451,"3,0%",-980,-125,"11,7%","3,3%","-16,0%","2,2%","3,1%","780,8%",129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
TCNO3,ON,TECNOSOLO S/A ON,Construção e Engenharia,Engenharia Consultiva,255,30/06/2020,092,460,195992,16881000,50343000,31/12/2019,6620000,"-0,39%","61,39%","61,39%","171,28%","70,00%","2,74%","-47,10%","76,92%","-38,82%","6,25%",,-4538,2215,-259,-,007,-,-,"0,0%",-906,-772,"-72,2%",-006,012,-,-,"0,0%","-2,8%",-,"-48,8%",-,-,-,232726000,7000,39758000,33469000,33462000,762000,0,-6525000,-372000,0,-2320000,-735000,,,,,,
JBDU4,PN,J B DUARTE PN,Holdings Diversificadas,Holdings Diversificadas,157,30/06/2020,110,420,123378,7879830,12492800,30/09/2019,5019000,"-1,88%","27,64%","27,64%","-45,10%","-25,24%","-79,41%","-66,34%","-42,27%","-70,84%","-13,67%",,-067,012,-072,-,004,-,-,"0,0%",-115,-115,-,-235,1356,-,-,"0,0%","-5,7%",-,"-17,3%",-,-,-,191199000,1000,7000,4614000,4613000,68038000,0,-10898000,-11781000,0,0,-292000,,,,,,
ANIM3,ON NM,ANIMA ON NM,Diversos,Educacional,2457,30/06/2020,1553,3875,13195300,2730290000,3022510000,31/03/2020,111123000,"3,98%","12,04%","12,04%","28,57%","-17,52%","75,24%","-39,24%","108,81%","0,53%","-57,55%",,-4104,164,1974,221,081,289,-665,"0,0%",1126,2186,"8,6%",-060,1498,"44,5%","11,2%","-5,4%","4,1%","5,8%","-4,0%",381,074,037,3356900000,931894000,1281060000,1224120000,292222000,1665140000,1237950000,138283000,-66534000,338983000,81721000,-18817000,,,,,,
USIM6,PNB N1,USIMINAS PNB N1,Siderurgia e Metalurgia,Siderurgia,950,05/06/2020,697,1144,46,11904300000,15457000000,31/03/2020,1253080000,"0,00%","0,00%","0,00%","16,52%","0,98%","27,19%","-16,70%","106,48%","70,75%","-38,74%",,-3838,085,1049,078,044,180,-665,"0,6%",724,1362,"15,1%",-025,1121,"12,4%","7,5%","-0,8%","4,2%","4,9%","-2,2%",326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
PETR4,PN,PETROBRAS PN,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,2155,30/06/2020,1129,3081,1623340000,281109000000,661297000000,31/03/2020,13044500000,"-0,51%","5,95%","5,95%","-19,48%","-28,60%","36,87%","45,91%","8,29%","121,32%","-28,15%",,-2264,121,281,094,029,979,-049,"3,8%",401,662,"1,1%",-095,1777,"42,8%","33,6%","-4,4%","10,3%","11,6%","-5,4%",121,200,031,971645000000,83728000000,163562000000,463916000000,380188000000,231829000000,297715000000,99904000000,-12417000000,75469000000,23881000000,-48523000000,,,,,,
CTNM3,ON,COTEMINAS ON,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1083,30/06/2020,600,1759,87137,331788000,1658000000,31/03/2020,30636000,"6,18%","40,65%","40,65%","14,00%","-3,39%","38,74%","34,67%","80,72%","-4,60%","-30,40%",,-136,036,-2700,018,008,130,-031,"0,0%",1949,-13492,"-11,2%",-794,2979,"30,0%","-0,7%","-21,8%","-0,3%","-0,3%","-26,6%",120,169,043,4246960000,217974000,1532140000,1544190000,1326210000,912647000,1829200000,-12289000,-243190000,414816000,-50413000,-113266000,,,,,,
DASA3,ON,DIAGNOSTICOS DA AMERICA SA ON,Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",6650,29/06/2020,2777,8025,6255,31974100000,34894000000,31/03/2020,480814000,"0,00%","2,31%","2,31%","135,28%","16,19%","117,53%","-1,41%","55,91%","75,76%","-0,30%",,-164046,796,12427,667,276,3544,-717,"0,6%",4479,13561,"13,6%",-004,836,"32,8%","5,4%","-0,3%","2,2%","2,6%","-0,5%",141,098,041,11589900000,1000750000,3123540000,3920610000,2919870000,4018650000,4795380000,257305000,-19491000,1456870000,14435000,-78135000,,,,,,
TASA3,ON,TAURUS ARMAS ON,Máquinas e Equipamentos,Armas e Munições,551,30/06/2020,244,622,876500,487569000,1325620000,31/03/2020,88488000,"-5,81%","42,01%","42,01%","62,06%","7,83%","6,68%","180,12%","20,42%","-4,70%","204,08%",,-414,-117,607,047,042,820,-060,"0,0%",1313,1650,"4,7%",-133,-472,"33,6%","7,7%","-11,3%","6,9%","8,3%","28,2%",108,-217,089,1170330000,66548000,772506000,904602000,838054000,-417283000,1045820000,80319000,-117746000,298320000,36186000,-157124000,,,,,,
RNEW4,PN N2,RENOVA PN N2,Energia Elétrica,Energia Elétrica,297,30/06/2020,170,733,216047,123908000,1671040000,31/03/2020,41720000,"1,37%","61,41%","61,41%","-57,45%","-18,85%","-47,64%","-61,80%","815,00%","0,00%","0,00%",,-014,-011,-110,250,005,-004,-004,"0,0%",-1737,-1484,"-33,6%",-2121,-2741,"52,3%","-227,2%","-1785,6%","-4,8%","-5,8%","77,4%",003,-140,002,2343700000,53902000,76833000,1601030000,1547130000,-1143710000,49560000,-112600000,-884938000,12332000,-9760000,-53166000,,,,,,
TELB4,PN,TELEBRAS PN,Outros,Outros,3214,30/06/2020,1241,7058,1491170,2181180000,1576210000,31/03/2020,67865000,"1,32%","40,04%","40,04%","21,05%","10,56%","28,63%","2,77%","3,14%","246,10%","-42,96%",,-1469,134,-779,962,051,228,-150,"0,0%",-1780,-563,"13,4%",-219,2404,"-85,2%","-123,4%","-65,5%","-6,5%","-8,3%","-9,1%",458,017,005,4308760000,878109000,1224170000,273135000,-604974000,1631740000,226820000,-279845000,-148504000,63513000,-55563000,-27863000,,,,,,
BRKM3,ON N1,BRASKEM ON N1,Químicos,Petroquímicos,2446,30/06/2020,1386,3891,723095,19500000000,45997800000,31/03/2020,797219000,"-0,12%","-14,48%","-14,48%","-28,23%","-22,45%","-28,82%","9,00%","49,12%","112,31%","62,94%",,-250,-1950,1147,038,025,334,-036,"3,4%",845,2707,"3,0%",-980,-125,"11,7%","3,3%","-16,0%","2,2%","3,1%","780,8%",129,-3884,067,77177000000,12347400000,25777700000,38845300000,26497900000,-1000160000,51970200000,1699400000,-7809320000,12624600000,213507000,-3649020000,,,,,,
HOOT4,PN,HOTEIS OTHON SA PN,Hoteis e Restaurantes,Hotelaria,284,30/06/2020,155,409,24467,52176500,48559500,31/03/2020,18372000,"4,41%","39,22%","39,22%","51,06%","20,85%","23,04%","-29,00%","-18,73%","-5,43%","-14,63%",,-033,-014,-042,059,011,-009,-006,"0,0%",-043,-039,"-15,5%",-855,-2103,"63,4%","-138,3%","-176,2%","-25,3%","-26,0%","40,6%",005,-000,018,487309000,4995000,31646000,1378000,-3617000,-386385000,89140000,-123310000,-157025000,23943000,-17574000,-23492000,,,,,,
CRDE3,ON,CR2 ON,Construção e Engenharia,Construção Civil,2300,30/06/2020,1032,2417,61326,55706000,-1108000,31/03/2020,2422000,"1,32%","9,58%","9,58%","122,94%","12,86%","77,44%","-32,60%","5,71%","3,70%","-25,41%",,-1554,042,-1092,913,033,111,130,"62,8%",022,022,"-19,6%",-148,5465,"73,6%","-83,6%","-66,4%","-3,0%","-4,6%","-2,7%",261,-,004,171162000,56814000,81635000,0,-56814000,132373000,6104000,-5100000,-3585000,347000,-2693000,-307000,,,,,,
TEKA4,PN,TEKA SA PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,1335,30/06/2020,449,2300,390411,6715050,476631000,31/03/2020,503000,"7,32%","130,17%","130,17%","79,68%","99,85%","-16,50%","13,48%","-6,00%","-37,50%","-53,85%",,-005,-000,-061,005,001,-000,-000,"0,0%",-7699,-4296,"-0,7%",-25347,-317438,"15,6%","-7,6%","-87,8%","-1,1%","-1,8%","8,0%",002,-029,015,975330000,88000,54891000,470004000,469916000,-1596710000,145141000,-11094000,-127494000,30478000,-1627000,-34310000,,,,,,
USIM5,PNA N1,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,727,30/06/2020,377,1101,165451000,9109890000,12662700000,31/03/2020,1253080000,"1,68%","18,21%","18,21%","-17,83%","-22,84%","4,74%","1,79%","121,89%","169,80%","-67,40%",,-2937,065,803,060,034,137,-509,"0,8%",593,1116,"15,1%",-025,1121,"12,4%","7,5%","-0,8%","4,2%","4,9%","-2,2%",326,042,056,26975900000,2373470000,9564920000,5926240000,3552770000,14043700000,15224600000,1134960000,-310159000,3807860000,303669000,-476567000,,,,,,
TCNO4,PN,TECNOSOLO S/A PN,Construção e Engenharia,Engenharia Consultiva,149,30/06/2020,081,240,168895,9863800,43325800,31/12/2019,6620000,"-0,67%","25,21%","25,21%","63,74%","5,67%","-13,50%","-42,81%","103,57%","-41,67%","60,00%",,-2652,1294,-151,-,004,-,-,"0,0%",-780,-664,"-72,2%",-006,012,-,-,"0,0%","-2,8%",-,"-48,8%",-,-,-,232726000,7000,39758000,33469000,33462000,762000,0,-6525000,-372000,0,-2320000,-735000,,,,,,
MSPA4,PN,MELHORAMENTOS PN,Madeira e Papel,Papel e Celulose,5150,12/06/2020,4812,5150,251,329858000,354551000,31/03/2020,6405000,"0,00%","0,00%","0,00%","8,26%","0,00%","7,74%","31,39%","32,77%","29,92%","1,01%",,-775,038,-934,273,023,478,-074,"0,0%",-1760,-1004,"-25,6%",-665,13575,"35,2%","-29,3%","-35,3%","-2,5%","-2,6%","-4,9%",274,007,008,1426660000,33557000,108812000,58251000,24694000,869463000,120627000,-35304000,-42564000,29217000,-9601000,-12853000,,,,,,
INEP3,ON,INEPAR S/A ON,Máquinas e Equipamentos,Máqs e Equips Industriais,695,30/06/2020,502,1088,21129,55643700,694364000,30/09/2019,8006280,"-5,83%","16,22%","16,22%","-12,58%","-10,78%","40,36%","91,38%","-25,83%","-21,80%","25,00%",,-013,-003,-019,210,004,-003,-002,"0,0%",-252,-237,"-51,5%",-5359,-21282,"31,1%","-1107,2%","-1399,6%","-20,5%","-22,2%","25,2%",014,-038,002,1429640000,1135000,280702000,639855000,638720000,-1703920000,26505000,-293465000,-429017000,1202000,-58858000,-69562000,,,,,,
MDNE3,ON NM,MOURA DUBEUX ON NM,Construção e Engenharia,Construção Civil,745,30/06/2020,431,1850,3911560,632572000,743304000,31/03/2020,84909000,"3,04%","6,13%","6,13%","-59,73%","-59,73%","0,00%","0,00%","0,00%","0,00%","0,00%",,-461,059,2670,206,029,085,1012,"0,0%",2815,3137,"-20,6%",-162,1269,"31,7%","7,7%","-46,0%","1,1%","1,1%","-12,7%",264,021,014,2217030000,119654000,1203070000,230386000,110732000,1077540000,306422000,23694000,-137174000,66324000,-7096000,-32254000,,,,,,
LUPA3,ON NM,LUPATECH ON NM,Máquinas e Equipamentos,"Motores, Compressores e Outros",204,30/06/2020,094,307,1509040,51891500,215135000,31/03/2020,25437000,"-0,49%","30,77%","30,77%","35,10%","6,25%","17,07%","-36,92%","-27,98%","94,09%","-94,07%",,-072,069,-157,393,010,040,-022,"0,0%",-912,-652,"-43,0%",-283,297,"-11,8%","-249,9%","-533,3%","-6,5%","-6,7%","-95,1%",291,219,003,507785000,2129000,197043000,165373000,163244000,75601000,13210000,-33010000,-71921000,14294000,-4810000,-63872000,,,,,,
PMAM3,ON,PARANAPANEMA SA ON,Siderurgia e Metalurgia,Artefatos de Cobre,1337,30/06/2020,749,4350,2895210,580311000,3265090000,31/03/2020,43404000,"-2,83%","30,06%","30,06%","-38,89%","-54,04%","22,23%","-11,95%","4,61%","-27,62%","-6,25%",,-104,913,-467,012,014,-030,-026,"0,0%",14341,-2630,"-0,4%",-1281,146,"0,2%","-2,6%","-11,6%","-3,0%","-3,7%","-874,4%",048,4410,118,4071090000,118932000,1773440000,2803710000,2684780000,63575000,4801000000,-124161000,-555924000,909750000,-12362000,-569790000,,,,,,
APER3,ON,ALPER SA ON,Previdência e Seguros,Corretoras de Seguros,3000,30/06/2020,1275,3137,2114040,344400000,265166000,31/03/2020,11480000,"4,90%","57,48%","57,48%","18,97%","3,67%","68,31%","47,14%","-39,30%","-0,26%","-68,23%",,-15542,196,-14249,366,131,540,2102,"0,2%",8725,-10971,"-14,5%",-019,1534,"100,0%","-2,6%","-2,4%","-0,9%","-1,4%","-1,3%",261,-,036,263110000,79234000,103429000,0,-79234000,176060000,93978000,-2417000,-2216000,25198000,-269000,-85000,,,,,,
GPIV33,DR3,"GP INVESTMENTS, LTD DR3",Holdings Diversificadas,Holdings Diversificadas,478,30/06/2020,277,760,1030480,524585000,-295593000,31/03/2020,109746000,"11,42%","41,00%","41,00%","-1,44%","-27,58%","42,86%","-19,93%","-17,10%","-9,61%","33,91%",,-221,041,-100,-176,019,065,183,"0,0%",056,056,"143,6%",-216,1169,"100,0%","176,5%","215,1%","-18,9%","-27,1%","-18,5%",1114,-,-011,2787020000,820178000,882973000,0,-820178000,1283040000,-298656000,-527204000,-237523000,-1041280000,-1059240000,-511876000,,,,,,
IGBR3,ON,GRADIENTE ON,Utilidades Domésticas,Eletrodomésticos,264,30/06/2020,162,420,365982,33013200,973001000,31/12/2019,12505000,"1,93%","3,53%","3,53%","23,36%","-18,77%","93,45%","46,09%","-16,06%","-46,27%","-4,14%",,-051,-004,-304,625,013,-038,-003,"0,0%",-10773,-8955,"-9,9%",-516,-7227,"78,3%","-205,9%","-1222,2%","-4,4%","-4,7%","7,1%",003,-104,002,248981000,98000,3046000,940086000,939988000,-903745000,5278000,-10865000,-64510000,-387000,4121000,17428000,,,,,,
COGN3,ON,COGNA ON,Diversos,Educacional,661,30/06/2020,366,1362,348851000,12404400000,21637800000,31/03/2020,1876610000,"0,92%","25,67%","25,67%","-39,58%","-42,17%","30,33%","-50,09%","41,81%","44,07%","-34,70%",,-29452,068,1653,182,034,391,-108,"0,5%",1146,2883,"7,5%",-002,975,"59,2%","11,0%","-0,7%","2,1%","2,3%","-0,2%",197,066,019,36283300000,2909300000,6448990000,12142800000,9233470000,18294700000,6815550000,750632000,-42117000,1627470000,163402000,-39120000,,,,,,
CTNM4,PN,COTEMINAS PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,582,30/06/2020,390,1194,245737,178302000,1504510000,31/03/2020,30636000,"-1,36%","21,25%","21,25%","-35,62%","-42,20%","38,32%","16,67%","70,49%","63,39%","-18,84%",,-073,020,-1451,010,004,070,-016,"0,0%",1769,-12243,"-11,2%",-794,2979,"30,0%","-0,7%","-21,8%","-0,3%","-0,3%","-26,6%",120,169,043,4246960000,217974000,1532140000,1544190000,1326210000,912647000,1829200000,-12289000,-243190000,414816000,-50413000,-113266000,,,,,,
RPMG3,ON,REFINARIA DE PETRÓLEOS DE MANGUINHOS SA ON,"Petróleo, Gás e Biocombustíveis",Exploração e/ou Refino e Distribuição,304,30/06/2020,190,1082,375396,205784000,205711000,31/03/2020,67692000,"-1,94%","20,16%","20,16%","65,22%","-40,63%","71,24%","-62,15%","9,57%","100,28%","-30,77%",,-140,-007,-373,039,008,-008,-007,"0,0%",-373,-373,"-2,6%",-217,-4248,"-5,7%","-10,5%","-28,1%","-2,1%","-2,1%","5,1%",049,-,020,2648800000,73000,2430960000,0,-73000,-2875230000,523038000,-55124000,-147145000,349819000,-87984000,-95743000,,,,,,
RSID3,ON N1,ROSSI RESIDENCIAL ON N1,Construção e Engenharia,Construção Civil,599,30/06/2020,350,1122,987793,102748000,1504020000,31/03/2020,17153300,"-1,32%","46,45%","46,45%","27,72%","-34,32%","72,08%","-26,29%","166,30%","-15,63%","-80,90%",,-034,-017,-120,223,005,-010,-006,"0,0%",-1918,-1757,"-55,1%",-1740,-3624,"0,7%","-185,9%","-658,2%","-4,3%","-4,8%","48,0%",042,-236,002,1968810000,63284000,769666000,1464560000,1401270000,-621680000,46039000,-85603000,-298468000,1085000,-12227000,-73126000,,,,,,
GOLL4,PN,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo,1855,30/06/2020,560,4379,287827000,6598220000,14329400000,31/03/2020,355699000,"-1,33%","54,20%","54,20%","-43,10%","-49,59%","46,61%","71,92%","216,02%","83,33%","-83,19%",,-278,-060,476,048,042,-091,-031,"0,0%",443,1034,"8,6%",-667,-3103,"26,9%","10,0%","-15,3%","8,9%","11,0%","21,5%",040,-086,088,15624800000,1792530000,4871610000,9523690000,7731160000,-11037300000,13801600000,1385680000,-2373240000,3147730000,70583000,-2288270000,,,,,,
SLED3,ON,EDITORA SARAIVA ON,Mídia,"Jornais, Livros e Revistas",170,30/06/2020,101,545,378010,66208200,459389000,31/03/2020,38946000,"-4,49%","55,96%","55,96%","34,92%","-63,83%","197,47%","-54,73%","-48,37%","100,59%","-56,63%",,-022,-033,-055,011,009,-241,-009,"0,0%",-1140,-383,"-22,1%",-783,-522,"33,4%","-20,0%","-50,7%","-16,5%","-19,5%","150,0%",088,-202,083,727042000,16797000,202033000,409978000,393181000,-203296000,601578000,-120048000,-304943000,136682000,-17186000,-50732000,,,,,,
VVAR3,ON,VIAVAREJO ON,Comércio,Eletrodomésticos,1531,30/06/2020,410,1664,1380230000,24450300000,28026300000,31/03/2020,1597020000,"-0,46%","23,47%","23,47%","201,97%","37,06%","154,44%","-44,57%","121,23%","148,61%","-79,55%",,-1774,3814,2574,095,102,-698,-216,"0,0%",1504,2950,"9,2%",-086,040,"29,4%","3,7%","-5,4%","4,0%","6,2%","-215,0%",077,890,107,23939000000,2129000000,11981000000,5705000000,3576000000,641000000,25664000000,950000000,-1378000000,6339000000,562000000,13000000,,,,,,
RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,465,30/06/2020,253,678,207171,775249000,1494500000,31/03/2020,166720000,"3,33%","37,98%","37,98%","74,11%","16,65%","36,99%","48,22%","-15,45%","-21,02%","-5,75%",,-1403,219,592,086,050,956,-108,"0,2%",598,1142,"5,3%",-033,213,"30,7%","14,5%","-6,1%","8,4%","9,4%","-15,6%",120,231,058,1563840000,98588000,490402000,817837000,719249000,354473000,904078000,130850000,-55241000,236323000,39102000,17988000,,,,,,
OIBR3,ON N1,OI ON N1,Telefonia Fixa,Telefonia Fixa,120,30/06/2020,044,163,181397000,7145050000,25310200000,31/03/2020,5954210000,"-0,83%","60,00%","60,00%","-25,00%","39,53%","-31,20%","-53,87%","38,27%","9,50%","-73,72%",,-045,063,-429,036,010,091,-017,"0,0%",484,-1519,"-7,6%",-266,192,"22,9%","-8,4%","-81,1%","-2,3%","-2,7%","-138,7%",168,214,027,73946600000,6275840000,19359300000,24441000000,18165100000,11425100000,19754700000,-1665770000,-15848900000,4748520000,-392917000,-6280070000,,,,,,
TASA4,PN,TAURUS ARMAS PN,Máquinas e Equipamentos,Armas e Munições,635,30/06/2020,231,744,9804090,561899000,1399950000,31/03/2020,88488000,"-3,79%","44,98%","44,98%","86,76%","6,01%","47,90%","131,43%","19,05%","59,78%","-72,46%",,-477,-135,700,054,048,945,-069,"0,0%",1387,1743,"4,7%",-133,-472,"33,6%","7,7%","-11,3%","6,9%","8,3%","28,2%",108,-217,089,1170330000,66548000,772506000,904602000,838054000,-417283000,1045820000,80319000,-117746000,298320000,36186000,-157124000,,,,,,
BAHI3,ON,BAHEMA ON,Holdings Diversificadas,Holdings Diversificadas,8900,30/06/2020,5850,11600,89124,197523000,182079000,31/03/2020,2219360,"0,00%","27,87%","27,87%","-16,99%","-8,76%","-20,81%","120,66%","112,65%","-1,28%","-34,76%",,-1074,200,-2180,246,047,-754,-078,"0,0%",-2433,-2009,"155,3%",-829,4460,"37,6%","-11,3%","-22,7%","-2,2%","-2,4%","-18,6%",069,025,019,416661000,40233000,58204000,24789000,-15444000,98985000,80448000,-9061000,-18390000,38431000,-636000,-11015000,,,,,,
BDLL4,PN,BAEDELLA PN,Máquinas e Equipamentos,Máqs e Equips Industriais,829,30/06/2020,600,2200,23969,13264000,241812000,30/09/2019,1600000,"1,10%","18,43%","18,43%","-27,91%","2,73%","-53,89%","-41,22%","-18,44%","-1,38%","-24,14%",,-013,105,-026,025,002,-008,-002,"0,0%",-571,-477,"-43,3%",-6541,787,"-31,0%","-93,6%","-193,3%","-6,0%","-6,8%","-831,3%",062,1816,006,837950000,18000,275437000,228566000,228548000,12589000,54128000,-50668000,-104656000,7565000,-14159000,-36091000,,,,,,
BBRK3,ON NM,BR Brokers ON NM,Construção e Engenharia,Intermediação Imobiliária,235,30/06/2020,121,694,2138060,85254000,36286000,31/03/2020,36278300,"-2,08%","6,82%","6,82%","-55,24%","-60,17%","-6,35%","-36,36%","-32,65%","20,49%","-46,26%",,-057,048,-416,064,026,294,-199,"0,0%",-499,-177,"0,3%",-414,493,"72,2%","-15,5%","-98,4%","-6,3%","-7,5%","-83,9%",148,-,041,325644000,48968000,89170000,0,-48968000,178802000,132740000,-20510000,-150092000,31603000,-7255000,-71135000,,,,,,
OIBR4,ON N1,OI ON N1,Telefonia Fixa,Telefonia Fixa,150,30/06/2020,085,179,4076210,8931310000,27096500000,31/03/2020,5954210000,"-0,66%","36,36%","36,36%","-9,09%","21,95%","-2,38%","-50,39%","53,94%","15,38%","-76,82%",,-056,078,-536,045,012,114,-021,"0,0%",518,-1627,"-7,6%",-266,192,"22,9%","-8,4%","-81,1%","-2,3%","-2,7%","-138,7%",168,214,027,73946600000,6275840000,19359300000,24441000000,18165100000,11425100000,19754700000,-1665770000,-15848900000,4748520000,-392917000,-6280070000,,,,,,
VIVR3,ON NM,VIVER ON NM,Construção e Engenharia,Construção Civil,168,30/06/2020,063,295,1589780,101522000,293841000,31/03/2020,60430000,"-1,18%","42,85%","42,85%","2,75%","-22,14%","-45,53%","-70,44%","16,06%","-48,11%","-70,03%",,-047,-070,-146,-077,020,-041,-023,"0,0%",-441,-423,"-27,0%",-357,-239,"25,8%","52,6%","163,7%","-13,9%","-14,5%","149,5%",044,-137,-027,498103000,6155000,193231000,198474000,192319000,-144472000,-132066000,-69460000,-216033000,9638000,-8386000,-10317000,,,,,,
CEDO4,PN,CIA DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA PN,"Tecidos, Vestuário e Calçados",Fios e Tecidos,714,30/06/2020,429,1350,104040,71400000,282616000,31/03/2020,10000000,"-3,51%","34,97%","34,97%","32,71%","-17,74%","44,67%","-12,02%","139,30%","-63,83%","-19,59%",,-745,044,2058,010,010,-331,-030,"0,0%",1207,8145,"14,5%",-096,1612,"12,3%","0,5%","-0,8%","0,5%","0,6%","-5,9%",094,148,095,740216000,27431000,317102000,238647000,211216000,161177000,702379000,3470000,-9581000,161198000,946000,-11457000,,,,,,
GBIO33,DR3,BIOTOSCANA DR3,Saúde,Medicamentos e Outros Produtos,1008,30/06/2020,743,1055,1325110,1074750000,1299170000,31/03/2020,106622000,"0,80%","1,10%","1,10%","33,16%","1,41%","19,90%","-59,76%","-24,46%","0,00%","0,00%",,-1827,132,1063,145,076,798,2625,"0,0%",1285,1285,"-4,9%",-055,761,"44,9%","13,7%","-7,9%","7,2%","8,7%","-7,2%",127,034,052,1411270000,52329100,640655000,276749000,224420000,811568000,740623000,101098000,-58821600,146231000,4079260,-52424200,,,,,,
ADHM3,,VITALYZEME,Prods de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,252,30/06/2020,110,335,189169,41096200,41096200,30/09/2019,16308000,"-1,56%","7,69%","7,69%","126,46%","14,96%","74,67%","-26,47%","-35,44%","0,00%","0,00%",,-660,-208,-919,124534,16982,-231,-206,"0,0%",-938,-919,"43,5%",-038,-121,"100,0%","-13548,5%","-18860,6%","-1847,5%","521,7%","31,5%",000,-,014,242000,0,23000,0,0,-19776000,33000,-4471000,-6224000,33000,-993000,-2492000,,,,,,
MSPA3,ON,MELHORAMENTOS ON,Madeira e Papel,Papel e Celulose,4700,18/06/2020,4500,5500,632,301035000,325729000,31/03/2020,6405000,"0,00%","1,08%","1,08%","0,00%","-6,00%","5,09%","13,20%","19,68%","87,71%","-12,49%",,-707,035,-853,250,021,436,-067,"0,0%",-1617,-923,"-25,6%",-665,13575,"35,2%","-29,3%","-35,3%","-2,5%","-2,6%","-4,9%",274,007,008,1426660000,33557000,108812000,58251000,24694000,869463000,120627000,-35304000,-42564000,29217000,-9601000,-12853000,,,,,,
LOGN3,ON NM,Log-In ON NM,Transporte,Transporte Hidroviário,1464,30/06/2020,1108,2570,19316100,1544360000,2297470000,31/03/2020,105489000,"-0,88%","4,95%","4,95%","35,93%","-29,95%","167,95%","155,74%","36,16%","-57,58%","-60,95%",,-1420,758,1627,142,080,314,-181,"0,0%",1163,2420,"4,1%",-103,193,"17,1%","8,8%","-10,0%","4,9%","7,9%","-53,3%",232,655,057,1919760000,581122000,863471000,1334230000,753109000,203852000,1084840000,94937000,-108738000,271339000,18468000,-114652000,,,,,,
SPRI5,PNA,SPRINGER PNA,Utilidades Domésticas,Eletrodomésticos,1225,25/06/2020,505,1918,4021,30980200,30979400,31/03/2020,2529000,"0,00%","39,20%","39,20%","122,73%","19,51%","210,61%","-58,75%","-2,56%","-55,62%","-9,76%",,-919,98225,-710,-,94303,-,-,"0,0%",-715,-710,"-83,5%",-133,001,-,-,"0,0%","-13283,0%",-,"-10686,0%",-,-,-,32852,863,10101,0,-863,31540,0,-4363730,-3370360,0,-1726,-3364,,,,,,
